DTW,NUS,MAN,BULAN
 Bedono Bangkit ,0.0,0.0,JANUARI
 Bermi - Sumur Gandeng ,56.0,0.0,JANUARI
 Candisari ,425.0,0.0,JANUARI
 Demak Green Garden (DeGeGa) ,12503.0,0.0,JANUARI
 Desa Bungo Syawalan ,0.0,0.0,JANUARI
 Haul Akbar Demak ,27203.0,0.0,JANUARI
 Haul Girikusomo ,0.0,0.0,JANUARI
 Haul Kanjeng Sunan Kalijaga ,0.0,0.0,JANUARI
 Haul Raden Fatah ,14247.0,0.0,JANUARI
 Iring-iringan Tumpeng 9 ,0.0,0.0,JANUARI
 Karangmlati Batik ,0.0,0.0,JANUARI
 Karnaval 17an ,0.0,0.0,JANUARI
 Kolam Renang Aria ,6070.0,0.0,JANUARI
 Kolam Renang Niagara ,6552.0,0.0,JANUARI
 Kolam Renang Tembalang Asri Boyolali Gajah ,9348.0,0.0,JANUARI
 Kolam Renang Tumpi ,6044.0,0.0,JANUARI
 Kraton Glagah Wangi ,0.0,0.0,JANUARI
 Makam Kasepuhan Girikusumo ,0.0,0.0,JANUARI
 Makam Mbah Mesem ,0.0,0.0,JANUARI
 Makam Sawonggaling ,214.0,0.0,JANUARI
 Makam Sunan Kalijaga ,424964.0,28.0,JANUARI
 Makam Syeh Mudzakir ,13226.0,0.0,JANUARI
 Masjid Agung Demak ,422630.0,28.0,JANUARI
 Museum Glagah wangi ,783.0,0.0,JANUARI
 Museum Masjid Agung Demak ,20452.0,0.0,JANUARI
 Pantai Gelagah Wangi Istambul ,1058.0,0.0,JANUARI
 Pantai Onggojoyo (Syawalan) ,0.0,0.0,JANUARI
 Pengajian Rutin Girikusumo (Kamis) ,21082.0,0.0,JANUARI
 Pengasapan Ikan Wonosari ,13832.0,0.0,JANUARI
 Pesta Rakyat Grebeg Besar ,0.0,0.0,JANUARI
 Prajurit 40an ,0.0,0.0,JANUARI
 Rowo Tanjung - Jatirogo ,0.0,0.0,JANUARI
 Ruwatan Massal (Demak) ,890.0,0.0,JANUARI
 Sendang Wuluh - Jragung ,2785.0,0.0,JANUARI
 Taman Bogorame ,0.0,0.0,JANUARI
 Taman Mahesa Jenar ,4744.0,0.0,JANUARI
 Taman kalituntang ,7222.0,0.0,JANUARI
 Tembiring Creative Fun (TCF) ,0.0,0.0,JANUARI
 Tlogoweru ,0.0,0.0,JANUARI
 Watu Lempit - Banyumeneng ,1888.0,0.0,JANUARI
 kolam renang polaris ,6845.0,0.0,JANUARI
Makam Syeh KH. Ma'shum mahfudi sidorejo sayung,4544.0,0.0,JANUARI
TOTAL ,1036555.0,423339.6060606061,JANUARI
 Bedono Bangkit ,0.0,0.0,FEBRUARI
 Bermi - Sumur Gandeng ,95.0,0.0,FEBRUARI
 Candisari ,367.0,0.0,FEBRUARI
 Demak Green Garden (DeGeGa) ,13100.0,0.0,FEBRUARI
 Desa Bungo Syawalan ,0.0,0.0,FEBRUARI
 Haul Akbar Demak ,0.0,0.0,FEBRUARI
 Haul Girikusomo ,0.0,0.0,FEBRUARI
 Haul Kanjeng Sunan Kalijaga ,0.0,0.0,FEBRUARI
 Haul Raden Fatah ,0.0,0.0,FEBRUARI
 Iring-iringan Tumpeng 9 ,0.0,0.0,FEBRUARI
 Karangmlati Batik ,0.0,0.0,FEBRUARI
 Karnaval 17an ,0.0,0.0,FEBRUARI
 Kolam Renang Aria ,6060.0,0.0,FEBRUARI
 Kolam Renang Niagara ,6342.0,0.0,FEBRUARI
 Kolam Renang Tembalang Asri Boyolali Gajah ,9140.0,0.0,FEBRUARI
 Kolam Renang Tumpi ,5934.0,0.0,FEBRUARI
 Kraton Glagah Wangi ,0.0,0.0,FEBRUARI
 Makam Kasepuhan Girikusumo ,0.0,0.0,FEBRUARI
 Makam Mbah Mesem ,0.0,0.0,FEBRUARI
 Makam Sawonggaling ,148.0,0.0,FEBRUARI
 Makam Sunan Kalijaga ,436009.0,28.0,FEBRUARI
 Makam Syeh Mudzakir ,14507.0,0.0,FEBRUARI
 Masjid Agung Demak ,446179.0,0.0,FEBRUARI
 Museum Glagah wangi ,489.0,0.0,FEBRUARI
 Museum Masjid Agung Demak ,19294.0,0.0,FEBRUARI
 Pantai Gelagah Wangi Istambul ,1015.0,0.0,FEBRUARI
 Pantai Onggojoyo (Syawalan) ,0.0,0.0,FEBRUARI
 Pengajian Rutin Girikusumo (Kamis) ,16131.0,0.0,FEBRUARI
 Pengasapan Ikan Wonosari ,12605.0,0.0,FEBRUARI
 Pesta Rakyat Grebeg Besar ,0.0,0.0,FEBRUARI
 Prajurit 40an ,0.0,0.0,FEBRUARI
 Rowo Tanjung - Jatirogo ,0.0,0.0,FEBRUARI
 Ruwatan Massal (Demak) ,0.0,0.0,FEBRUARI
 Sendang Wuluh - Jragung ,2092.0,0.0,FEBRUARI
 Taman Bogorame ,0.0,0.0,FEBRUARI
 Taman Mahesa Jenar ,5830.0,0.0,FEBRUARI
 Taman kalituntang ,6067.0,0.0,FEBRUARI
 Tembiring Creative Fun (TCF) ,0.0,0.0,FEBRUARI
 Tlogoweru ,0.0,0.0,FEBRUARI
 Watu Lempit - Banyumeneng ,1225.0,0.0,FEBRUARI
 kolam renang polaris ,6754.0,0.0,FEBRUARI
Makam Syeh KH. Ma'shum mahfudi sidorejo sayung,3489.0,0.0,FEBRUARI
TOTAL ,972722.0,423311.6060606061,FEBRUARI
 Bedono Bangkit ,0.0,0.0,MARET
 Bermi - Sumur Gandeng ,1200.0,0.0,MARET
 Candisari ,428.0,0.0,MARET
 Demak Green Garden (DeGeGa) ,7008.0,0.0,MARET
 Desa Bungo Syawalan ,0.0,0.0,MARET
 Haul Akbar Demak ,0.0,0.0,MARET
 Haul Girikusomo ,0.0,0.0,MARET
 Haul Kanjeng Sunan Kalijaga ,0.0,0.0,MARET
 Haul Raden Fatah ,0.0,0.0,MARET
 Iring-iringan Tumpeng 9 ,0.0,0.0,MARET
 Karangmlati Batik ,0.0,0.0,MARET
 Karnaval 17an ,0.0,0.0,MARET
 Kolam Renang Aria ,0.0,0.0,MARET
 Kolam Renang Niagara ,0.0,0.0,MARET
 Kolam Renang Tembalang Asri Boyolali Gajah ,0.0,0.0,MARET
 Kolam Renang Tumpi ,0.0,0.0,MARET
 Kraton Glagah Wangi ,0.0,0.0,MARET
 Makam Kasepuhan Girikusumo ,0.0,0.0,MARET
 Makam Mbah Mesem ,0.0,0.0,MARET
 Makam Sawonggaling ,465.0,0.0,MARET
 Makam Sunan Kalijaga ,218316.0,0.0,MARET
 Makam Syeh Mudzakir ,13210.0,31.0,MARET
 Masjid Agung Demak ,348317.0,0.0,MARET
 Museum Glagah wangi ,0.0,0.0,MARET
 Museum Masjid Agung Demak ,20790.0,0.0,MARET
 Pantai Gelagah Wangi Istambul ,628.0,0.0,MARET
 Pantai Onggojoyo (Syawalan) ,0.0,0.0,MARET
 Pengajian Rutin Girikusumo (Kamis) ,0.0,0.0,MARET
 Pengasapan Ikan Wonosari ,12898.0,0.0,MARET
 Pesta Rakyat Grebeg Besar ,0.0,0.0,MARET
 Prajurit 40an ,0.0,0.0,MARET
 Rowo Tanjung - Jatirogo ,0.0,0.0,MARET
 Ruwatan Massal (Demak) ,0.0,0.0,MARET
 Sendang Wuluh - Jragung ,2291.0,0.0,MARET
 Taman Bogorame ,0.0,0.0,MARET
 Taman Mahesa Jenar ,5623.0,0.0,MARET
 Taman kalituntang ,8208.0,0.0,MARET
 Tembiring Creative Fun (TCF) ,0.0,0.0,MARET
 Tlogoweru ,1368.0,0.0,MARET
 Watu Lempit - Banyumeneng ,0.0,0.0,MARET
 kolam renang polaris ,0.0,0.0,MARET
Makam Syeh KH. Ma'shum mahfudi sidorejo sayung,0.0,0.0,MARET
TOTAL ,686679.0,423314.6060606061,MARET
 Bedono Bangkit ,0.0,0.0,APRIL
 Bermi - Sumur Gandeng ,217.0,0.0,APRIL
 Candisari ,213.0,0.0,APRIL
 Demak Green Garden (DeGeGa) ,6491.0,0.0,APRIL
 Desa Bungo Syawalan ,0.0,0.0,APRIL
 Haul Akbar Demak ,0.0,0.0,APRIL
 Haul Girikusomo ,0.0,0.0,APRIL
 Haul Kanjeng Sunan Kalijaga ,0.0,0.0,APRIL
 Haul Raden Fatah ,0.0,0.0,APRIL
 Iring-iringan Tumpeng 9 ,0.0,0.0,APRIL
 Karangmlati Batik ,0.0,0.0,APRIL
 Karnaval 17an ,0.0,0.0,APRIL
 Kolam Renang Aria ,2870.0,0.0,APRIL
 Kolam Renang Niagara ,2300.0,0.0,APRIL
 Kolam Renang Tembalang Asri Boyolali Gajah ,3657.0,0.0,APRIL
 Kolam Renang Tumpi ,4653.0,0.0,APRIL
 Kraton Glagah Wangi ,0.0,0.0,APRIL
 Makam Kasepuhan Girikusumo ,0.0,0.0,APRIL
 Makam Mbah Mesem ,4350.0,0.0,APRIL
 Makam Sawonggaling ,320.0,0.0,APRIL
 Makam Sunan Kalijaga ,236998.0,0.0,APRIL
 Makam Syeh Mudzakir ,13210.0,0.0,APRIL
 Masjid Agung Demak ,355877.0,12.0,APRIL
 Museum Glagah wangi ,324.0,0.0,APRIL
 Museum Masjid Agung Demak ,22622.0,0.0,APRIL
 Pantai Gelagah Wangi Istambul ,402.0,0.0,APRIL
 Pantai Onggojoyo (Syawalan) ,0.0,0.0,APRIL
 Pengajian Rutin Girikusumo (Kamis) ,3953.0,0.0,APRIL
 Pengasapan Ikan Wonosari ,10813.0,0.0,APRIL
 Pesta Rakyat Grebeg Besar ,0.0,0.0,APRIL
 Prajurit 40an ,0.0,0.0,APRIL
 Rowo Tanjung - Jatirogo ,0.0,0.0,APRIL
 Ruwatan Massal (Demak) ,0.0,0.0,APRIL
 Sendang Wuluh - Jragung ,3321.0,0.0,APRIL
 Taman Bogorame ,1982.0,0.0,APRIL
 Taman Mahesa Jenar ,5695.0,0.0,APRIL
 Taman kalituntang ,6856.0,0.0,APRIL
 Tembiring Creative Fun (TCF) ,0.0,0.0,APRIL
 Tlogoweru ,0.0,0.0,APRIL
 Watu Lempit - Banyumeneng ,1325.0,0.0,APRIL
 kolam renang polaris ,3202.0,0.0,APRIL
Makam Syeh KH. Ma'shum mahfudi sidorejo sayung,0.0,0.0,APRIL
TOTAL ,722460.0,423295.6060606061,APRIL
 Bedono Bangkit ,0.0,0.0,MEI
 Bermi - Sumur Gandeng ,102.0,0.0,MEI
 Candisari ,198.0,0.0,MEI
 Demak Green Garden (DeGeGa) ,3846.0,0.0,MEI
 Desa Bungo Syawalan ,0.0,0.0,MEI
 Haul Akbar Demak ,0.0,0.0,MEI
 Haul Girikusomo ,0.0,0.0,MEI
 Haul Kanjeng Sunan Kalijaga ,0.0,0.0,MEI
 Haul Raden Fatah ,0.0,0.0,MEI
 Iring-iringan Tumpeng 9 ,0.0,0.0,MEI
 Karangmlati Batik ,0.0,0.0,MEI
 Karnaval 17an ,0.0,0.0,MEI
 Kolam Renang Aria ,2264.0,0.0,MEI
 Kolam Renang Niagara ,2103.0,0.0,MEI
 Kolam Renang Tembalang Asri Boyolali Gajah ,2219.0,0.0,MEI
 Kolam Renang Tumpi ,3480.0,0.0,MEI
 Kraton Glagah Wangi ,0.0,0.0,MEI
 Makam Kasepuhan Girikusumo ,0.0,0.0,MEI
 Makam Mbah Mesem ,3987.0,0.0,MEI
 Makam Sawonggaling ,256.0,0.0,MEI
 Makam Sunan Kalijaga ,280702.0,0.0,MEI
 Makam Syeh Mudzakir ,11415.0,0.0,MEI
 Masjid Agung Demak ,340433.0,5.0,MEI
 Museum Glagah wangi ,298.0,0.0,MEI
 Museum Masjid Agung Demak ,18095.0,0.0,MEI
 Pantai Gelagah Wangi Istambul ,322.0,0.0,MEI
 Pantai Onggojoyo (Syawalan) ,0.0,0.0,MEI
 Pengajian Rutin Girikusumo (Kamis) ,3183.0,0.0,MEI
 Pengasapan Ikan Wonosari ,10283.0,0.0,MEI
 Pesta Rakyat Grebeg Besar ,0.0,0.0,MEI
 Prajurit 40an ,0.0,0.0,MEI
 Rowo Tanjung - Jatirogo ,0.0,0.0,MEI
 Ruwatan Massal (Demak) ,0.0,0.0,MEI
 Sendang Wuluh - Jragung ,2245.0,0.0,MEI
 Taman Bogorame ,1765.0,0.0,MEI
 Taman Mahesa Jenar ,5025.0,0.0,MEI
 Taman kalituntang ,5884.0,0.0,MEI
 Tembiring Creative Fun (TCF) ,0.0,0.0,MEI
 Tlogoweru ,0.0,0.0,MEI
 Watu Lempit - Banyumeneng ,1144.0,0.0,MEI
 kolam renang polaris ,2375.0,0.0,MEI
Makam Syeh KH. Ma'shum mahfudi sidorejo sayung,0.0,0.0,MEI
TOTAL ,763321.0,423288.6060606061,MEI
 Bedono Bangkit ,0.0,0.0,JUNI
 Bermi - Sumur Gandeng ,102.0,0.0,JUNI
 Candisari ,198.0,0.0,JUNI
 Demak Green Garden (DeGeGa) ,3846.0,0.0,JUNI
 Desa Bungo Syawalan ,0.0,0.0,JUNI
 Haul Akbar Demak ,0.0,0.0,JUNI
 Haul Girikusomo ,0.0,0.0,JUNI
 Haul Kanjeng Sunan Kalijaga ,0.0,0.0,JUNI
 Haul Raden Fatah ,0.0,0.0,JUNI
 Iring-iringan Tumpeng 9 ,14271.0,0.0,JUNI
 Karangmlati Batik ,0.0,0.0,JUNI
 Karnaval 17an ,0.0,0.0,JUNI
 Kolam Renang Aria ,2187.0,0.0,JUNI
 Kolam Renang Niagara ,2498.0,0.0,JUNI
 Kolam Renang Tembalang Asri Boyolali Gajah ,2367.0,0.0,JUNI
 Kolam Renang Tumpi ,3257.0,0.0,JUNI
 Kraton Glagah Wangi ,0.0,0.0,JUNI
 Makam Kasepuhan Girikusumo ,0.0,0.0,JUNI
 Makam Mbah Mesem ,3674.0,0.0,JUNI
 Makam Sawonggaling ,210.0,0.0,JUNI
 Makam Sunan Kalijaga ,281067.0,0.0,JUNI
 Makam Syeh Mudzakir ,11305.0,0.0,JUNI
 Masjid Agung Demak ,352291.0,20.0,JUNI
 Museum Glagah wangi ,298.0,0.0,JUNI
 Museum Masjid Agung Demak ,18582.0,0.0,JUNI
 Pantai Gelagah Wangi Istambul ,328.0,0.0,JUNI
 Pantai Onggojoyo (Syawalan) ,0.0,0.0,JUNI
 Pengajian Rutin Girikusumo (Kamis) ,0.0,0.0,JUNI
 Pengasapan Ikan Wonosari ,10147.0,0.0,JUNI
 Pesta Rakyat Grebeg Besar ,108500.0,0.0,JUNI
 Prajurit 40an ,62500.0,0.0,JUNI
 Rowo Tanjung - Jatirogo ,0.0,0.0,JUNI
 Ruwatan Massal (Demak) ,0.0,0.0,JUNI
 Sendang Wuluh - Jragung ,0.0,0.0,JUNI
 Taman Bogorame ,1286.0,0.0,JUNI
 Taman Mahesa Jenar ,3720.0,0.0,JUNI
 Taman kalituntang ,4740.0,0.0,JUNI
 Tembiring Creative Fun (TCF) ,0.0,0.0,JUNI
 Tlogoweru ,0.0,0.0,JUNI
 Watu Lempit - Banyumeneng ,0.0,0.0,JUNI
 kolam renang polaris ,2288.0,0.0,JUNI
Makam Syeh KH. Ma'shum mahfudi sidorejo sayung,0.0,0.0,JUNI
TOTAL ,927643.0,423303.6060606061,JUNI
